kaptCode,kaptName,doroJuso,kaptAddr,경도,위도,비고
A14319303,자양현대홈타운10차,서울특별시 광진구 뚝섬로34길 25-19,서울특별시 광진구 자양동 792 자양현대홈타운10차,127.070101195,37.53335364,도로명(1)
A14319305,광진트라팰리스,서울특별시 광진구 뚝섬로34길 67,서울특별시 광진구 자양동 854 광진트라팰리스,127.068322465,37.531692171,도로명(1)
A14319306,이튼타워리버3차,서울특별시 광진구 능동로 18,서울특별시 광진구 자양동 855 이튼타워리버3차,127.067878979,37.532681676,도로명(1)
A14319307,자양한라,서울특별시 광진구 뚝섬로33길 20,서울특별시 광진구 자양동 762 자양한라,127.070000796,37.535650722,도로명(1)
A14319311,자양우성7차,서울특별시 광진구 아차산로36길 39,서울특별시 광진구 자양동 783-1 자양우성7차,127.074651081,37.536273856,도로명(1)
A14375801,우성6,서울특별시 광진구 뚝섬로33길 42,서울특별시 광진구 자양동 515-1 우성6,127.070753363,37.536346661,도로명(1)
A14376501,한솔리베르,서울특별시 광진구 뚝섬로56가길 28,서울특별시 광진구 자양동 672 한솔리베르,127.084256737,37.528140816,도로명(1)
A14377402,이튼타워리버5차,서울특별시 광진구 능동로4길 40,서울특별시 광진구 자양동 856 이튼타워리버5차,127.068785563,37.532036518,도로명(1)
A14386109,자양우성2차,서울특별시 광진구 뚝섬로 576,서울특별시 광진구 자양동 520-2 자양우성2차,127.074342133,37.53278147,도로명(1)
A14386110,자양우성3차,서울특별시 광진구 뚝섬로35길 32,서울특별시 광진구 자양동 516 자양우성3차,127.071308871,37.535883756,도로명(1)
A14386802,자양경남,서울특별시 광진구 뚝섬로52길 71,서울특별시 광진구 자양동 641 자양경남,127.078858069,37.528762717,도로명(1)
A14387605,자양한양,서울특별시 광진구 구의강변로 11,서울특별시 광진구 자양동 695 자양한양,127.090895552,37.533064477,도로명(1)
A14388204,자양7차현대홈타운,서울특별시 광진구 능동로4길 41,서울특별시 광진구 자양동 788 자양7차현대홈타운,127.070338182,37.532706883,도로명(1)
A14388208,자양동삼성아파트,서울특별시 광진구 자양번영로3길 65,서울특별시 광진구 자양동 787 자양동삼성아파트,127.071142483,37.532472288,도로명(1)
A10021996,광진코지웰,서울특별시 광진구 능동로19길 35,서울특별시 광진구 화양동 113-1 광진코지웰,127.071856694,37.547011166,도로명(1)
A10022135,동도센트리움캠퍼스파크,서울특별시 광진구 광나루로 370,서울특별시 광진구 화양동 116-2 동도센트리움캠퍼스파크,127.07089551,37.547622391,도로명(1)
A10022318,씨즈건대힐스,서울특별시 광진구 광나루로20길 17,서울특별시 광진구 화양동 530- 씨즈건대힐스,127.074688557,37.546192352,도로명(1)
A10025404,아스하임4차,서울특별시 광진구 광나루로 382,서울특별시 광진구 화양동 111-102 아스하임4차,127.072075327,37.547437552,도로명(1)
A14313001,화양현대,서울특별시 광진구 동일로24길 5,서울특별시 광진구 화양동 234 화양현대,127.065665045,37.544517293,도로명(1)
A10022248,광진동양파라곤,서울특별시 광진구 광나루로 361,서울특별시 광진구 군자동 360-20 광진동양파라곤,127.070242214,37.54858358,도로명(1)
A10028012,광진We’vePark,서울특별시 광진구 광나루로 369,서울특별시 광진구 군자동 503 광진We’vePark,127.071020522,37.548421197,도로명(1)
A14383901,군자일성파크,서울특별시 광진구 군자로12길 46,서울특별시 광진구 군자동 99 군자일성파크,127.072953349,37.551863785,도로명(1)
A10020429,신설동역 자이르네,서울특별시 동대문구 천호대로 26,서울특별시 동대문구 신설동 96-48 신설동역 자이르네,127.025747093,37.573964226,도로명(1)
A10026147,신설동 지웰홈스,서울특별시 동대문구 난계로 242,서울특별시 동대문구 신설동 117-9 신설동 지웰홈스,127.023759516,37.573102944,도로명(1)
A10020343,힐스테이트청량리메트로블,서울특별시 동대문구 고산자로 420,서울특별시 동대문구 용두동 26-14 힐스테이트청량리메트로블,127.038746515,37.577155434,도로명(1)
A10022979,청계한양아이클래스,서울특별시 동대문구 청계천로 461,서울특별시 동대문구 용두동 255-49 청계한양아이클래스,127.028453753,37.570734341,도로명(1)
A10023188,청량리역 한양수자인 그라시엘,서울특별시 동대문구 고산자로32길 78,서울특별시 동대문구 용두동 39-1 청량리역 한양수자인 그라시엘,127.042841508,37.577587975,도로명(1)
A10023389,청량리역해링턴플레이스,서울특별시 동대문구 고산자로34길 70,서울특별시 동대문구 용두동 797 청량리역해링턴플레이스,127.042196768,37.578292267,도로명(1)
A10023633,래미안 엘리니티,서울특별시 동대문구 한빛로 49,서울특별시 동대문구 용두동 753-9 래미안 엘리니티,127.027306209,37.579652234,도로명(1)
A10024042,e편한세상 청계 센트럴포레,서울특별시 동대문구 무학로 91,서울특별시 동대문구 용두동 253 e편한세상 청계 센트럴포레,127.030062106,37.572001272,도로명(1)
A10027274,동대문푸르지오시티,서울특별시 동대문구 왕산로 86,서울특별시 동대문구 용두동 104-3 동대문푸르지오시티,127.033031303,37.577779704,도로명(1)
A10028080,용두 롯데 캐슬리치 아파트,서울특별시 동대문구 한빛로 73,서울특별시 동대문구 용두동 794 용두 롯데 캐슬리치 아파트,127.030457058,37.579502999,도로명(1)
A13007001,용두두산위브,서울특별시 동대문구 정릉천동로 16,서울특별시 동대문구 용두동 791 용두두산위브,127.036774542,37.573757173,도로명(1)
A13007002,용두롯데캐슬피렌체,서울특별시 동대문구 정릉천동로 58,서울특별시 동대문구 용두동 790 용두롯데캐슬피렌체,127.036238494,37.577186863,도로명(1)
A13007004,용두신동아,서울특별시 동대문구 무학로26길 30,서울특별시 동대문구 용두동 779 용두신동아,127.031871736,37.572700439,도로명(1)
A13070301,래미안허브리츠,서울특별시 동대문구 정릉천동로 36,서울특별시 동대문구 용두동 792 래미안허브리츠,127.036668259,37.57514573,도로명(1)
A13070302,래미안용두1차,서울특별시 동대문구 고산자로29길 18,서울특별시 동대문구 용두동 792-1 래미안용두1차,127.03708715,37.576446775,도로명(1)
A10020729,리스트안암,서울특별시 동대문구 고산자로 568,서울특별시 동대문구 제기동 136-3 리스트안암,127.036899346,37.590083104,도로명(1)
A13006002,제기현대,서울특별시 동대문구 정릉천동로 90,서울특별시 동대문구 제기동 892-66 제기현대,127.036075735,37.579985737,도로명(1)
A13006003,제기이수브라운스톤,서울특별시 동대문구 왕산로23길 89,서울특별시 동대문구 제기동 252 제기이수브라운스톤,127.034605993,37.582487985,도로명(1)
A13006101,제기한신,서울특별시 동대문구 고산자로 534,서울특별시 동대문구 제기동 1212 제기한신,127.040495546,37.590013532,도로명(1)
A13077201,제기한신제2임대아파트,서울특별시 동대문구 회기로8길 20,서울특별시 동대문구 제기동 1212-1 제기한신제2임대아파트,127.040147459,37.590548862,도로명(1)
A13086101,제기안암골벽산,서울특별시 동대문구 약령시로 25,서울특별시 동대문구 제기동 153 제기안암골벽산,127.031425831,37.583864171,도로명(1)
A10020757,전농하우스토리,서울특별시 동대문구 사가정로 122,서울특별시 동대문구 전농동 32-4 전농하우스토리,127.058517319,37.577201649,도로명(1)
A10023083,청량리역 롯데캐슬 SKY-L65,서울특별시 동대문구 답십리로 27,서울특별시 동대문구 전농동 620-47 청량리역 롯데캐슬 SKY-L65,127.044500831,37.578495315,도로명(1)
A10026180,롯데캐슬노블레스,서울특별시 동대문구 답십리로23길 30,서울특별시 동대문구 전농동 518 롯데캐슬노블레스,127.049051689,37.575918432,도로명(1)
A13002002,래미안아름숲,서울특별시 동대문구 전농로16길 51,서울특별시 동대문구 전농동 688 래미안아름숲,127.060315861,37.580050066,도로명(1)
A13071301,전농동아임대,서울특별시 동대문구 서울시립대로 31,서울특별시 동대문구 전농동 645-3 전농동아임대,127.046198835,37.574650461,도로명(1)
A13071302,래미안크레시티,서울특별시 동대문구 사가정로 65,서울특별시 동대문구 전농동 440-9 래미안크레시티,127.04968938,37.575520339,도로명(1)
A13084802,전농SK제2(임대),서울특별시 동대문구 전농로10길 111,서울특별시 동대문구 전농동 10-1 전농SK제2(임대),127.062431403,37.57689317,도로명(1)
A13084803,전농우성,서울특별시 동대문구 사가정로 190,서울특별시 동대문구 전농동 6 전농우성,127.065959928,37.578342345,도로명(1)
A13084804,전농SK,서울특별시 동대문구 사가정로 148,서울특별시 동대문구 전농동 10 전농SK,127.059267271,37.575775371,도로명(1)
A13085301,전농삼성,서울특별시 동대문구 전농로 192,서울특별시 동대문구 전농동 155 전농삼성,127.05466385,37.582389484,도로명(1)
A13085901,전농동아,서울특별시 동대문구 서울시립대로 31,서울특별시 동대문구 전농동 645-2 전농동아,127.046198835,37.574650461,도로명(1)
