kaptCode,kaptName,doroJuso,kaptAddr,경도,위도,비고
A10023548,정동상림원아파트,,서울특별시 중구 정동 15-6 정동상림원아파트,126.97077133435164,37.568313385048995,지번(2)
A10024359,삼정아트테라스정동,서울특별시 중구 서소문로 89-20,서울특별시 중구 정동 37 삼정아트테라스정동,126.972033142,37.563254236,도로명(1)
A10024756,순화동포스코더샵,서울특별시 중구 칠패로 27,서울특별시 중구 순화동 151 순화동포스코더샵,126.971991209,37.560305847,도로명(1)
A10027364,덕수궁롯데캐슬아파트,서울특별시 중구 서소문로9길 28,서울특별시 중구 순화동 217 덕수궁롯데캐슬아파트,126.970042329,37.563707546,도로명(1)
A10023788,더플레이스충정로,서울특별시 중구 중림로 21,서울특별시 중구 중림동 1154 더플레이스충정로,126.966059439,37.558909184,도로명(1)
A10085902,중림삼성래미안아파트,서울특별시 중구 중림로4길 41,서울특별시 중구 중림동 201 중림삼성래미안아파트,126.964388289,37.557282381,도로명(1)
A10085903,중림삼성사이버빌리지,서울특별시 중구 중림로 10,서울특별시 중구 중림동 200 중림삼성사이버빌리지,126.964559807,37.558700452,도로명(1)
A10095301,브라운스톤서울아파트,서울특별시 중구 청파로 464,서울특별시 중구 중림동 355 브라운스톤서울아파트,126.96824332,37.560781726,도로명(1)
A10080701,엘아이지서울역리가,서울특별시 중구 만리재로33길 21,서울특별시 중구 만리동1가 231 엘아이지서울역리가,126.966857117,37.555416405,도로명(1)
A10026517,서울역한라비발디센트럴아파트,서울특별시 중구 만리재로 177,서울특별시 중구 만리동2가 288 서울역한라비발디센트럴아파트,126.965796496,37.554538554,도로명(1)
A10026881,서울역센트럴자이아파트,서울특별시 중구 만리재로 175,서울특별시 중구 만리동2가 273 서울역센트럴자이아파트,126.965023355,37.554299594,도로명(1)
A14019001,후암미주,서울특별시 용산구 후암로 71-1,서울특별시 용산구 후암동 423-1 후암미주,126.976129099,37.552197436,도로명(1)
A10020608,용산 남영역 롯데캐슬 헤리티지,서울특별시 용산구 한강대로71길 47,서울특별시 용산구 갈월동 98-6 용산 남영역 롯데캐슬 헤리티지,126.971697063,37.54130599,도로명(1)
A14070901,동부센트레빌아스테리움서울,서울특별시 용산구 한강대로 372,서울특별시 용산구 동자동 45 동부센트레빌아스테리움서울,126.972912224,37.551631652,도로명(1)
A10020656,어반허브 서울스테이션,서울특별시 용산구 청파로73길 36-7,서울특별시 용산구 서계동 100-1 어반허브 서울스테이션,126.968199628,37.550989518,도로명(1)
A43582406,적성8차,,경기도 군포시 금정동 744 적성8차,126.94035710576485,37.36101611685277,지번(2)
A14070301,리첸시아용산,서울특별시 용산구 백범로 341,서울특별시 용산구 원효로1가 133-3 리첸시아용산,126.967987947,37.537981164,도로명(1)
A14070302,용산더프라임,서울특별시 용산구 원효로90길 11,서울특별시 용산구 원효로1가 41 용산더프라임,126.969732091,37.540400021,도로명(1)
A14006001,신창세방리버하이빌,서울특별시 용산구 효창원로15길 16,서울특별시 용산구 신창동 102 신창세방리버하이빌,126.953804813,37.535714423,도로명(1)
A14004001,한강타운,서울특별시 용산구 새창로8길 157,서울특별시 용산구 산천동 204 한강타운,126.94912675,37.535558219,도로명(1)
A14004002,리버힐삼성아파트,서울특별시 용산구 효창원로 17,서울특별시 용산구 산천동 193 리버힐삼성아파트,126.948731985,37.53526425,도로명(1)
A14076401,산천리버힐제2,서울특별시 용산구 효창원로13길 7,서울특별시 용산구 산천동 194 산천리버힐제2,126.952331995,37.535479011,도로명(1)
A10023464,sk청암대아파트,서울특별시 용산구 삼개로 58,서울특별시 용산구 청암동 64-1 sk청암대아파트,126.947945179,37.535322758,도로명(1)
A14005001,청암자이,서울특별시 용산구 삼개로 60,서울특별시 용산구 청암동 181 청암자이,126.948253171,37.534914054,도로명(1)
A10022232,풍전아파트,서울특별시 용산구 원효로25길 14,서울특별시 용산구 원효로4가 109-4 풍전아파트,126.954244152,37.532826811,도로명(1)
A14085002,원효산호,서울특별시 용산구 원효로 66,서울특별시 용산구 원효로4가 118-16 원효산호,126.949894985,37.532781514,도로명(1)
A14085101,원효로강변삼성스위트,서울특별시 용산구 원효로 40,서울특별시 용산구 원효로4가 178 원효로강변삼성스위트,126.948126238,37.5341022,도로명(1)
A10023858,용산데시앙포레아파트,서울특별시 용산구 효창원로 227,서울특별시 용산구 효창동 288 용산데시앙포레아파트,126.963049379,37.547226485,도로명(1)
A10025533,용산롯데캐슬센터포레아파트,서울특별시 용산구 백범로 313,서울특별시 용산구 효창동 13-2 용산롯데캐슬센터포레아파트,126.963096665,37.539319376,도로명(1)
A10025898,용산kcc스위첸,서울특별시 용산구 백범로 275,서울특별시 용산구 효창동 286 용산kcc스위첸,126.960291559,37.540035588,도로명(1)
A14074101,효창파크푸르지오,서울특별시 용산구 백범로 260,서울특별시 용산구 효창동 274 효창파크푸르지오,126.95915425,37.539682395,도로명(1)
A14074102,효창한신,서울특별시 용산구 백범로45길 9-11,서울특별시 용산구 효창동 5-145 효창한신,126.95721989,37.541274726,도로명(1)
A14007001,도원삼성제2,서울특별시 용산구 새창로8길 7,서울특별시 용산구 도원동 25 도원삼성제2,126.95615312,37.539288565,도로명(1)
A14007002,도원삼성래미안,서울특별시 용산구 새창로 70,서울특별시 용산구 도원동 23 도원삼성래미안,126.95666512,37.539129901,도로명(1)
A14083101,브라운스톤용산,서울특별시 용산구 효창원로 88,서울특별시 용산구 용문동 90 브라운스톤용산,126.959125279,37.536630578,도로명(1)
A10026183,용산지오베르크,서울특별시 용산구 백범로 346,서울특별시 용산구 문배동 17-1 용산지오베르크,126.967297656,37.537407066,도로명(1)
A10027901,용산 KCC 웰츠타워,서울특별시 용산구 백범로90길 90,서울특별시 용산구 문배동 11-10 용산 KCC 웰츠타워,126.968950533,37.537778874,도로명(1)
A14010001,용산아크로타워,서울특별시 용산구 백범로90길 26,서울특별시 용산구 문배동 24-21 용산아크로타워,126.968740112,37.536920041,도로명(1)
A14010002,이안용산프리미어,서울특별시 용산구 청파로 213,서울특별시 용산구 문배동 3-3 이안용산프리미어,126.970377526,37.538601244,도로명(1)
A14010003,용산CJ나인파크,서울특별시 용산구 백범로90다길 12,서울특별시 용산구 문배동 24-6 용산CJ나인파크,126.969212732,37.536352323,도로명(1)
A14009001,용산e편한세상,서울특별시 용산구 원효로 216,서울특별시 용산구 신계동 48 용산e편한세상,126.967259366,37.534765776,도로명(1)
A14001101,대우월드마크용산,서울특별시 용산구 한강대로 211,서울특별시 용산구 한강로1가 64 대우월드마크용산,126.973062916,37.537187646,도로명(1)
