학원지정번호,학원명,도로명주소,경도,위도,비고
23175,예담아카데미학원,경기도 가평군 청평면 청평중앙로 32,127.418537791,37.736884903,성공
3000043096,웅진씽크빅 스마트올클래스 설악학원,경기도 가평군 설악면 신천중앙로 121,127.490162354,37.677950404,성공
3000045030,위너영수학원,경기도 가평군 청평면 구청평로 57,127.413517723,37.732982037,성공
129581,이경은 음악학원,경기도 가평군 가평읍 연인2길 11,127.512318475,37.829865547,성공
3000020795,이상아아틀리에미술학원,경기도 가평군 가평읍 향교로 32,127.509451434,37.830391289,성공
3000068451,이지실용음악학원,경기도 가평군 청평면 은고개로 36,127.423829541,37.73882038,성공
3000075741,이지플러스 학원,경기도 가평군 가평읍 석봉로 121-25,127.510804305,37.82562969,성공
4309,이지학원,경기도 가평군 청평면 청평중앙로72번길 24-5,127.422558367,37.737587188,성공
3000012442,일리노이학원,경기도 가평군 가평읍 향교로 33-3,127.509460934,37.830652328,성공
3000015818,장은영음악학원,경기도 가평군 가평읍 석봉로 193,127.509595454,37.832393336,성공
129580,정수천컴퓨터학원,경기도 가평군 가평읍 석봉로 139-1,127.511330494,37.827457822,성공
3000026425,조이스학원,경기도 가평군 가평읍 향교로 38-7,127.510302738,37.83032603,성공
129635,중앙음악학원,경기도 가평군 가평읍 향교로 38-7,127.510302738,37.83032603,성공
3000017591,지식의샘학원,경기도 가평군 설악면 신천중앙로 132-1,127.489170761,37.678014968,성공
129637,청명멘토르학원,경기도 가평군 가평읍 석봉로153번길 6,127.510496688,37.828901736,성공
3000032207,청평실력이쑥쑥학원,경기도 가평군 청평면 경춘로 807-11,127.417024693,37.737906931,성공
3000049747,카인드매쓰학원,경기도 가평군 가평읍 석봉로 141,127.511281177,37.827738214,성공
129578,클나무음악학원,경기도 가평군 조종면 조종새싹로 39,127.349324341,37.822089306,성공
3000045146,탑엘리트 해법영어학원,경기도 가평군 조종면 조종새싹로 28,127.349635906,37.82120391,성공
3000075880,탑클래스 설악 학원,경기도 가평군 설악면 신천중앙로120번길 18,127.491618595,37.67933756,성공
3000011560,튼튼나무학원,경기도 가평군 청평면 잠곡로 14,127.420316859,37.736762085,성공
3000042071,폭스바디무용학원,경기도 가평군 가평읍 향교로27번길 11,127.508211849,37.831158625,성공
3000059627,폭스바디무용현리점학원,경기도 가평군 조종면 조종새싹로 30,127.349733076,37.821343237,성공
3000035064,한빛입시학원,경기도 가평군 가평읍 석봉로 121,127.511793858,37.826038088,성공
3000053000,100마탄수학교습소,경기도 고양시 일산서구 하이파크로 113,126.752561829,37.703809584,성공
3000074538,3030토브영어교습소,경기도 고양시 덕양구 충장로103번길 55,126.830055311,37.622043153,성공
3000052600,5인수학교습소,경기도 고양시 일산서구 중앙로 1425,126.761379622,37.669469856,성공
3000036387,ANC영어교습소,경기도 고양시 일산동구 강촌로 157,126.790948267,37.653698295,성공
3000054099,ECA미술교습소,경기도 고양시 덕양구 도래울1로 80,126.870728191,37.626698353,성공
3000051705,EDP리드인논술교습소,경기도 고양시 일산동구 위시티2로11번길 6-31,126.813753118,37.676399831,성공
3000067844,EPT360영어교습소,경기도 고양시 덕양구 향기3로 9,126.893649356,37.59714251,성공
3000072300,ERC영어독서클럽고양삼송초점영어교습소,경기도 고양시 덕양구 동세로 125,126.880779196,37.653629315,성공
3000047652,ERC영어독서클럽대화마을점영어교습소,경기도 고양시 일산서구 대화로 124,126.734315556,37.669932584,성공
3000067623,ERC영어독서클럽덕은한강초점영어교습소,경기도 고양시 덕양구 으뜸로 130,126.870613611,37.579452604,성공
3000054570,ERC영어독서클럽별빛마을점영어교습소,경기도 고양시 덕양구 화신로 309,126.826715696,37.631569794,성공
3000045865,ERC영어독서클럽영어교습소,경기도 고양시 덕양구 혜음로 30,126.903021333,37.702753553,성공
3000047288,ESS위시티자이점스마트해법영어교습소,경기도 고양시 일산동구 위시티1로 7,126.810026033,37.675599286,성공
3000073921,ITC영어일산식사점영어교습소,경기도 고양시 일산동구 위시티3로 111,126.810036253,37.672449436,성공
3000069367,ITC영어화정별빛점영어교습소,경기도 고양시 덕양구 화신로 309,126.826715696,37.631569794,성공
3000052982,J1수학교습소,경기도 고양시 일산서구 일산로 542,126.767968754,37.678005303,성공
3000075792,JH코칭영어교습소,경기도 고양시 일산동구 노루목로 107,126.777267262,37.650045113,성공
3000061897,JM수학교습소,경기도 고양시 덕양구 지축로 70,126.915832801,37.649298715,성공
